IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
46,1001,2023,2023-03-02,1055,C,CP310305172TN,DE,6.9,90.0,1000,TUNIS,TN,TUNIS,91361,PINZBERG,DE,DEUTSCHLAND,National,CP,Normal,TN,normal,1001,False
73,1001,2023,2023-03-16,1013,C,CP308839902TN,DE,5.17,83.0,1000,TUNIS,TN,TUNIS,Inconnu,DEUTSHLAND,DE,DEUTSHLAND,National,CP,Normal,TN,normal,1001,False
164,1001,2023,2023-10-06,1145,C,CP308838915TN,DE,3.394,69.0,1000,TUNIS,TN,TUNIS,Inconnu,DEUTSHLAND,DE,DEUTSHLAND,National,CP,Normal,TN,normal,1001,False
94,3040,2023,2023-03-02,1102,C,CP321306077TN,TN,2.789,4.3,3040,BIR ALI BEN KHELIFA,TN,SFAX,4000,SOUSSE,TN,SOUSSE,National,CP,Normal,TN,normal,3040,False
141,3040,2023,2023-04-06,1213,C,CP320550606TN,TN,2.12,4.3,3040,BIR ALI BEN KHELIFA,TN,SFAX,4021,GALA SOGHRA,TN,SOUSSE,National,CP,Normal,TN,normal,3040,False
8,6089,2023,2023-03-02,1057,C,CO320844565TN,KR,10.5,289.0,6089,ELMAYA,TN,GABES,503.9,DALSEONG-GUN DAEGU,KR,MONTROPOLITAN CITE,National,NOR,Normal,TN,normal,6089,False
36,3062,2023,2023-03-02,1112,C,CP320351932TN,CA,12.39,313.0,3062,SFAX,TN,SFAX,1000,CANADA,CA,CANADA,National,CP,Normal,TN,normal,3062,False
40,2090,2023,2023-03-02,1114,C,CP320199218TN,TN,2.223,4.3,2090,MORNAG,TN,BEN AROUS,9100,SIDI BOUZID,TN,SIDI BOUZID,National,CP,Normal,TN,normal,2090,False
22,8060,2023,2023-03-02,1108,C,CP008217388TN,TN,5.2,5.2,8060,BENI KHIAR,TN,NABEUL,8060,HAMMAM LIF,TN,2050,National,CP,Normal,TN,normal,8060,False
29,1110,2023,2023-03-02,1123,C,CP307897838TN,TN,8.46,6.1,1110,MORNAGUIA,TN,MANNOUBA,3000,3000,TN,3000,National,CP,Normal,TN,normal,1110,False
74,5020,2023,2023-03-02,1115,C,CP321553524TN,FR,15.32,128.0,5020,JEMML,TN,MONASTIR,66430,COMIGOU,FR,FRANCE,National,CP,Normal,TN,normal,5020,False
30,1110,2023,2023-03-02,1126,C,CP307897841TN,TN,11.86,7.0,1110,MORNAGUIA,TN,MANNOUBA,3000,3000,TN,3000,National,CP,Normal,TN,normal,1110,False
31,1110,2023,2023-03-02,1127,C,CP307897855TN,TN,2.405,4.3,1110,MORNAGUIA,TN,MANNOUBA,300,3000,TN,3000,National,CP,Normal,TN,normal,1110,False
32,1110,2023,2023-03-02,1130,C,CP307897869TN,TN,2.825,4.3,1110,MORNAGUIA,TN,1110,3000,3000,TN,3000,National,CP,Normal,TN,normal,1110,False
9004,2243,2023,2023-03-02,1129,C,CP319657605TN,TN,4.061,4.9,2243,TOZEUR,TN,TOZEUR,1000,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,2243,False
9,8055,2023,2023-03-02,1134,C,CP320262383TN,TN,6.6,5.5,8055,DAR ALLOUCH,TN,DAR ALLOUCH,4037,4037,TN,SOUSSE,National,CP,Normal,TN,normal,8055,False
109,2035,2023,2023-05-29,1558,P,UP001171341TN,FR,0.38,16.0,2083,CITE EL GHAZALA 1,TN,ARIANA,95370,MONTIGNY LES CORMEILLES,FR,CERGY,National,UP,Normal,TN,normal,2035,False
87,4022,2023,2023-03-02,1136,C,CP307330659TN,US,2.8,95.0,4022,AKOUDA,TN,SOUSSE,33936,LEHIGH ACRES,US,USA,National,CP,Normal,TN,normal,4022,False
16,8154,2023,2023-03-02,1146,C,CP317086661TN,TN,2.955,4.3,8154,GHARDIMOU,TN,GHARDIMOU,8155,BUALARIGIA,TN,JENDOUBA,National,CP,Normal,TN,normal,8154,False
31,7016,2023,2023-03-02,1156,C,CP317745721TN,FR,9.48,92.0,7016,EL ALIA,TN,BIZERTE,8200,MOUNTAUBAN,FR,FRANCE,National,CP,Normal,TN,normal,7016,False
14,3049,2023,2023-03-02,1201,C,CP318684595TN,FR,2.258,50.0,3000,SFAX,TN,SFAX,000,FRANCE,FR,FRANCE,National,CP,Normal,TN,normal,3049,False
22,3049,2023,2023-05-09,1511,C,CP318684666TN,FR,2.55,50.0,3000,SFAX,TN,SFAX,000,FRANCE,FR,FRANCE,National,CP,Normal,TN,normal,3049,False
35,5060,2023,2023-03-01,1201,C,CP320591645TN,TN,6.99,5.5,5000,MONASTIR,TN,MONASTIR,1200,KASSERINE,TN,KASSERINE,National,CP,Normal,TN,normal,5060,False
35,5060,2023,2023-03-01,1201,C,CP321550240TN,TN,7.29,5.8,5000,MONASTIR,TN,MONASTIR,8100,JENDOUBA,TN,JENDOUBA,National,CP,Normal,TN,normal,5060,False
15,3049,2023,2023-03-02,1206,C,CP318684581TN,FR,8.1,86.0,3064,SFAX,TN,SFAX,0000,PARIS,FR,FRANCE,National,CP,Normal,TN,normal,3049,False
97,1091,2023,2023-03-02,1203,C,CP320891256TN,QA,13.38,171.0,1091,PTT,TN,PTT,PTT,PTT,QA,PTT,National,CP,Normal,TN,normal,1091,False
97,1091,2023,2023-03-02,1203,C,CP320891273TN,QA,14.62,182.0,1091,PTT,TN,PTT,PTT,PTT,QA,PTT,National,CP,Normal,TN,normal,1091,False
97,1091,2023,2023-03-02,1203,C,CP320891242TN,QA,10.92,138.0,1091,PTT,TN,PTT,PTT,PTT,QA,PTT,National,CP,Normal,TN,normal,1091,False
16,5031,2023,2023-03-02,1207,C,CP320595580TN,IT,3.55,49.0,5031,K MEDIOUNI,TN,MONASTIR,52100,ITALIE,IT,ITALIE,National,CP,Normal,TN,normal,5031,False
40,3039,2023,2023-03-02,1209,C,CP318236685TN,CA,8.52,225.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,CP,Normal,TN,normal,3039,False
9026,3063,2023,2023-04-11,0906,C,CP320399205TN,CA,6.2,181.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,CP,Normal,TN,normal,3063,False
112,3039,2023,2023-11-30,0904,P,UP000849021TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
104,3039,2023,2023-11-16,1032,P,UP000664518TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
105,3039,2023,2023-11-17,0808,P,UP000664521TN,CA,1.974,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
69,3039,2023,2023-07-19,1049,P,UP000664230TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
70,3039,2023,2023-07-26,0743,P,UP000664274TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
71,3039,2023,2023-08-11,1107,P,UP000664291TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
83,3039,2023,2023-09-08,0948,P,UP000664345TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X7T5,MAGOG,CA,CANADA,National,UP,Normal,TN,normal,3039,False
79,3039,2023,2023-08-28,0925,P,UP000664305TN,CA,2.0,26.0,3039,CAID MHAMED,TN,SFAX,J1X3X8,MAGOG,CA,CA,National,UP,Normal,TN,normal,3039,False
