id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
415,TN,TN,MON,MON,5020,National
416,TN,TN,TUNI S,TUNI S,1002,National
417,TN,TN,5020,5020,5020,National
418,TN,TN,TSIE,SFAX,3013,National
419,TN,TN,MENZEL  TMIM,POSTE,8080,National
420,TN,TN,KASRIN,KASRIN,1200,National
421,TN,TN,SIDI BOUZIDZAYEN,MENZEL BOUZAIENNE,9114,National
422,TN,TN,MENZEL BOUZELFA,NABEUL,8010,National
423,TN,TN,MONAST,KASSAR HELEL,5100,National
424,TN,TN,GABEUS,GABEUS,4000,National
425,TN,TN,EL JAM,EL JAM,0000,National
426,TN,TN,GAFSSA,CAFSA,1200,National
427,TN,TN,HAMMA,ELHAMMA,2300,National
428,TN,TN,GA,GABEUS,4000,National
429,TN,TN,SILIANA SUD,SILIANA,6100,National
430,TN,TN,SAYADA,SAYADA,0000,National
431,TN,TN,ZERAMDINE,ZERAMDINE,5040,National
432,TN,FR,VILLEJUIF,VILLEJUIF,94800,National
433,TN,TN,KAIRAOUENE,KAIRAOUENE,3100,National
434,TN,TN,FERNANA,FERNANA,1240,National
435,TN,TN,KORBA,KORBA,8070,National
436,TN,TN,1240,1240,1240,National
437,TN,TN,3078,3078,3078,National
438,TN,SA,ERRIADH,RYADH,2325,National
439,TN,AT,4522,4522,4522,National
440,TN,TN,DAR CHAABANE ELFEHRI,DAR CHAABANE ELFEHRI,8011,National
441,TN,TN,JANBOUBA,JANDOUBA,8140,National
442,TN,TN,MOANSTIR,MONASTIR,5031,National
443,TN,TN,KBL,KEBILI,4200,National
444,TN,CH,BASEL,SUISSE,4054,National
445,TN,TN,N,N,2240,National
446,TN,TN,TOZ,TOZ,2200,National
447,TN,TN,GAF,REDEYEF,2120,National
448,TN,TN,RMD,RMD,3240,National
449,TN,NL,NEDERLAND,481AC BREEDA,246,National
450,TN,TN,TUNIF,TUNIS,1001,National
451,TN,TN,BEN AMORS,BEN AROUS,2097,National
452,TN,FR,DIJON,FONTAINE,21121,National
453,TN,TN,MATEUR,MATEUR,7030,National
454,TN,TN,MAAMOURA,MAAMOURA,8013,National
455,TN,TN,TWIREF,TWIREF,77112,National
456,TN,TN,ZAOUEIT JDIDI,ZAOUET JDIDI,8099,National
457,TN,TN,CHRAHIL,CHRAHIL,5034,National
458,TN,TN,CEBBALA,CEBBALA,9122,National
459,TN,TN,ENNADHOUR,ENNADHOUR,1160,National
460,TN,TN,S ALOUAN,S ALOUAN,5190,National
461,TN,TN,EL AMRA,EL AMRA,3036,National
462,TN,TN,SIDI ALOUENE,SIDI ALOUENE,5190,National
463,TN,TN,SEJNENE,SEJNENE,7010,National
464,TN,TN,HZAG,GZAG,3026,National
465,TN,TN,23438924,BEN AOUN,9120,National
466,TN,TN,4243,4243,6210,National
467,TN,TN,MZL BOURGUIBA,MZL BOURGUIBA,7050,National
468,TN,TN,CITE EL MAHRAJENE,CITE EL MAHRAJENE,1082,National
469,TN,TN,DHIBAT,DHIBAT,3253,National
470,TN,FR,GENTILLY,GENTILLY ILE DE FRANCE,94250,National
471,TN,TN,EL MENZAH,EL MENZAH 1,1004,National
472,TN,DZ,KSSANTINA,HAMMET BOUZAYENE,0000000,National
473,TN,FR,TALENCE,TALENCE,33400,National
474,TN,FR,COURURNNES,EVRY   COURCOURONNES,91000,National
475,TN,TN,OMARANE,2062,2062,National
476,TN,TN,JENDAMA,JENDOUBA,8189,National
477,TN,TN,BEN  AROUS,BEN AROUS,MOUROUJ5,National
478,TN,TN,KESRA,KESRA,6114,National
479,TN,TN,8000,NABEUL,8000,National
480,TN,TN,ARIUNA,ARIANA,2080,National
481,TN,TN,TATOUINE,TATOUINE,3261,National
482,TN,TN,ROUHIA,SILINA,6150,National
483,TN,TN,SIDI  BOUZID,SIDI  BOUZID,9140,National
484,TN,TN,BNI  MTIR,BNI  MTIR,8114,National
485,TN,TN,HAMMATEM,HAMAMATE,8058,National
486,TN,TN,ZAROUK,ZAROUK,2112,National
487,TN,TN,MHDIA,MAHDIA,5100,National
488,TN,TN,EL  JEM,EL  JEM,5160,National
489,TN,TN,KES,KEFKES,7100,National
490,TN,TN,RAS  JBEL,7070,7070,National
491,TN,TN,KAROIN,CHARARDA,3116,National
492,TN,TN,BIERTE,BIZERTE,7080,National
493,TN,TN,2080,2080,ARIANA,National
494,TN,TN,ZAKIET  ZIT,SAKIET  ZIT,3021,National
495,TN,TN,KAIROUN,3180,3180,National
496,TN,TN,6110,SILINA,6116,National
497,TN,TN,2100,GAFSA,2100,National
498,TN,TN,ZAGWANE,ZGHWANE,1100,National
499,TN,TN,FOUSSANA,FOUSSANA,1220,National
500,TN,TN,CHENINI,GABES,6041,National
501,TN,TN,EL  KEF,EL  KEF,7100,National
502,TN,TN,MAKNASI,MAKNASI,9140,National
503,TN,TN,SLIANA,SLIANA,6100,National
504,TN,TN,ARINA,ARIANA,2080,National
505,TN,TN,SILAYNA,SILANA,6140,National
506,TN,TN,MENZEL  JEMIL,MENZEL  JEMIL,7080,National
507,TN,TN,KIRWAN,KIRWAN,3140,National
508,TN,BE,BEL,BELGIQUE,1200,National
509,TN,GB,ROYAUME UNIS,LONDON,1200,National
510,TN,TN,M HORR,M HORR,8015,National
511,TN,TN,8015,MENZEL HORR,8015,National
512,TN,TN,MESTIR,MESTIR,5000,National
513,TN,TN,BOUSSALEM,BOUSSALEM,8170,National
